MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2023-2024_Wolves_Luton,2023-2024,35,2024-04-27,15:00,Wolves,Luton,2,1,H,1,0,H,D Coote,13,9,5,6,4,4,14,14,3,1,0,0,1.95,3.8,3.6,1.62,2.3,2.04,4.03,3.78,1.98,3.83,3.58,1.67,2.4,1.63,2.31,3,0
2023-2024_Everton_Brentford,2023-2024,35,2024-04-27,17:30,Everton,Brentford,1,0,H,0,0,D,D England,18,10,1,4,6,6,10,12,1,2,0,0,2.3,3.5,3,1.87,2.03,2.45,3.68,3.13,2.36,3.5,2.97,1.9,2.11,1.83,2.01,3,0
2023-2024_Aston Villa_Chelsea,2023-2024,35,2024-04-27,20:00,Aston Villa,Chelsea,2,2,D,2,0,H,C Pawson,9,21,4,5,2,4,13,14,3,5,0,0,2.15,3.8,3,1.44,2.75,2.25,4.1,3.21,2.17,3.9,3.06,1.47,2.88,1.44,2.77,1,1
2023-2024_Bournemouth_Brighton,2023-2024,35,2024-04-28,14:00,Bournemouth,Brighton,3,0,H,1,0,H,P Tierney,15,13,6,1,8,2,14,10,2,2,0,0,2.25,3.8,2.9,1.44,2.75,2.32,4.01,3.05,2.26,3.8,2.94,1.5,2.79,1.47,2.68,3,0
2023-2024_Tottenham_Arsenal,2023-2024,35,2024-04-28,14:00,Tottenham,Arsenal,2,3,A,0,3,A,M Oliver,14,9,2,3,8,6,12,16,2,1,0,0,4.2,4.2,1.75,1.5,2.63,4.3,4.27,1.86,4.12,4.07,1.8,1.52,2.72,1.48,2.63,0,3
2023-2024_Nott'm Forest_Man City,2023-2024,35,2024-04-28,16:30,Nott'm Forest,Man City,0,2,A,0,1,A,S Hooper,14,11,2,5,4,5,8,6,0,0,0,0,8,6,1.3,1.53,2.5,11,6,1.38,9.5,5.72,1.31,1.57,2.57,1.53,2.5,0,3
2023-2024_Chelsea_Tottenham,2023-2024,35,2024-05-02,19:30,Chelsea,Tottenham,2,0,H,1,0,H,R Jones,16,19,5,3,4,9,12,16,0,1,0,0,2.15,3.8,3,1.3,3.5,2.25,4.36,3.05,2.2,4.05,2.91,1.33,3.67,1.31,3.44,3,0
2023-2024_Luton_Everton,2023-2024,36,2024-05-03,20:00,Luton,Everton,1,1,D,1,1,D,T Robinson,18,10,5,3,8,7,14,12,1,3,0,0,2.6,3.6,2.55,1.73,2.1,2.74,3.75,2.7,2.66,3.58,2.62,1.79,2.2,1.74,2.12,1,1
2023-2024_Arsenal_Bournemouth,2023-2024,36,2024-05-04,12:30,Arsenal,Bournemouth,3,0,H,1,0,H,D Coote,25,7,9,2,6,1,16,12,2,3,0,0,1.22,7.5,11,1.33,3.4,1.23,8.2,14,1.2,7.59,12.74,1.38,3.4,1.34,3.23,3,0
2023-2024_Brentford_Fulham,2023-2024,36,2024-05-04,15:00,Brentford,Fulham,0,0,D,0,0,D,G Scott,7,15,3,3,7,6,3,6,1,1,0,0,2.1,3.8,3.2,1.57,2.38,2.17,3.95,3.34,2.12,3.8,3.25,1.65,2.45,1.59,2.38,1,1
